Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 20481886;Аккумуляторный триммер Bosch EasyGrassCut 18V-26 06008C1C04;"
    5 132 р.

    ";"
    В наличии
    7
    шт.
  ";Нет информации
код: 16523092;Аккумуляторный триммер Zitrek GreenCut 20 20В 082-2002;"
    3 534 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 16413162;Аккумуляторные ножницы для стрижки травы и кустарников WORX АКБ 1x2 А*ч и ЗУ, в комплекте с тяпкой WG801E.5;"
    11 709 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 15860709;Аккумуляторные ножницы для травы GARDENA ComfortCut Li 09856-20.000.00;"
    6 768 р.

    ";"
    В наличии
    > 100
    шт.
  ";Нет информации
код: 21729778;Кусторез Ryobi MAX POWER 36В RY36PHT50A-0 5133005382;"
    19 934 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16451762;Ножницы для стрижки травы и кустарников WORX WG801E.9;"
    4 977 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 25180131;Аккумуляторный электрический триммер-кусторез Huter GET-120 70/1/41;"
    2 165 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 16105607;Аккумуляторная цепная пила Black+Decker GKC1820L20;"
    10 156 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15598445;Аккумуляторная воздуходувка Einhell PXC GE-CL 18 Li E 3433532;"
    3 990 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15773870;Аккумуляторный триммер DAEWOO DATR 2840Li;"
    9 990 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16077865;Триммер Ryobi MAX POWER RY36LT33A-0 5133004544;"
    10 843 р.

    ";"
    В наличии
    42
    шт.
  ";Нет информации
код: 16451805;Цепная аккумуляторная пила WORX ChainSaw 40 В, 2х2.0 А*ч, двойное ЗУ WG381E;"
    21 200 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 15494931;Аккумуляторный триммер Makita DUR181Z;"
    5 324 р.

    ";"
    В наличии
    67
    шт.
  ";Нет информации
код: 20359636;Цепная аккумуляторная пила Zitrek GreenSaw 20 В, 2 АКБ 1.5 А*ч, ЗУ 082-1850;"
    3 078 р.

    ";"
    В наличии
    15
    шт.
  ";Нет информации
код: 15598446;Аккумуляторные ножницы-кусторез Einhell PXC GE-CG 18 Li 3410370;"
    5 100 р.

    ";"
    В наличии
    4
    шт.
  ";Нет информации
код: 15946249;Газонокосилка AL-KO 42.9 SP Li EnergyFlex, акк. 113689;"
    37 493 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 19901068;Ручной аккумуляторный снегоуборщик PATRIOT PE 1001UES 426302214;"
    6 790 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 20476888;Аккумуляторный триммер Bosch UniversalGrassCut 18V-260 06008C1D03;"
    13 770 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 16543257;Самоходная аккумуляторная газонокосилка STIGA COMBI 748 SQ AE 2L0487878/ST1;"
    61 050 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 25103583;Аккумуляторный триммер Sturm BT18;"
    4 040 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 18571537;Аккумуляторные ножницы-кусторез Einhell PXC GE-CG 18/100 Li T-Solo 3410310;"
    8 419 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 20371000;Аккумуляторный триммер Black+Decker BRUSHLES 36 В BCSTA536B-XJ;"
    8 490 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 19481310;Аккумуляторная коса Makita LXT BL 18 В DUR192LZ;"
    10 990 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 16067484;Аккумуляторные ножницы Makita LXT DUM604ZX 196788;"
    6 328 р.

    ";"
    В наличии
    42
    шт.
  ";Нет информации
код: 16451645;Аккумуляторный триммер WORX WG157E.9;"
    4 581 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 21729874;Культиватор Ryobi ONE+ RY18CVA-0 5133005047;"
    22 792 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16453643;Аккумуляторный триммер Gardena EasyCut 2318V P4A 14700-55.000.00;"
    13 740 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15985988;Аккумуляторная цепная пила Einhell PXC GE-LC 36/35 Li-Solo 4501780;"
    9 900 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 17226018;Садовый аккумуляторный триммер DEKO DKTR12 2х2.0 А*ч 063-4238;"
    2 793 р.

    ";"
    В наличии
    5
    шт.
  ";Нет информации
код: 21584920;Бесщеточный аккумуляторный ранцевый воздуходув GreenWorks GC82B13 82 В 2406407;"
    21 990 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15647753;Бесщеточный высоторез/сучкорез Greenworks 1400307;"
    20 990 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 20462746;Аккумуляторные ножницы для травы и кустов Bosch ISIO 0600833108;"
    4 616 р.

    ";"
    В наличии
    26
    шт.
  ";Нет информации
код: 20984499;Аккумуляторный триммер Champion TB1811;"
    5 290 р.

    ";"
    В наличии
    14
    шт.
  ";Нет информации
код: 16505996;Аккумуляторная цепная пила Ставр 20В ст25-20пца;"
    9 570 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15620785;Цепная пила Makita LXT DUC353Z;"
    17 711 р.

    ";"
    В наличии
    31
    шт.
  ";Нет информации
код: 19408986;Аккумуляторная коса Makita LXT BL 2х18 В DUR 368AZ			 																								 DUR368AZ;"
    23 303 р.

    ";"
    В наличии
    16
    шт.
  ";Нет информации
код: 25980173;Аккумуляторный секатор Einhell PXC GE-LS 18 Li-Solo 3408300;"
    7 990 р.

    ";"
    В наличии
    6
    шт.
  ";Нет информации
код: 25660629;Аккумуляторный триммер WORTEX TB 3018-1 ALL1 0333242;"
    9 140 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16104095;Аккумуляторная цепная пила Makita LXT DUC302RF2;"
    20 999 р.

    ";"
    В наличии
    17
    шт.
  ";Нет информации
код: 22937673;Цепная аккумуляторная пила FAVOURITE 21 В OBS 21 TG6;"
    2 878 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15706328;Гибридный триммер Ryobi ONE+ RLT1831H20F 5133003710;"
    16 457 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16059599;Блок управления Энкор АКМ3610 49310;"
    604 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 25893095;Штанговый телескопический кусторез Makita LXT 18В XPT DUN461WZ;"
    12 490 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15629863;Аккумуляторная электрокоса Black+Decker ST1823;"
    6 099 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16453705;Аккумуляторная газонокосилка Gardena PowerMax 3236V P4A 14621-20.000.00;"
    44 990 р.

    ";"
    В наличии
    93
    шт.
  ";Нет информации
код: 16463949;Бесщеточная цепная аккумуляторная пила DENZEL RCS400-36 58610;"
    26 910 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 16528880;Аккумуляторный секатор Bosch Pro Pruner 06019K1021;"
    20 079 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16497040;Бесщеточная газонокосилка ЗУБР 36 В, 4 А*ч, 2 АКБ и ЗУ ГКЛ-3736-42;"
    28 110 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 27078176;Аккумуляторная воздуходувка Makita CXT 12 В, 2.6 куб.м/мин, 75 м/с, короткий патрубок UB100DZ;"
    4 450 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 15860717;Аккумуляторные ножницы для живой изгороди GARDENA Li-40 09836-20.000.00;"
    18 740 р.

    ";"
    В наличии
    93
    шт.
  ";Нет информации
код: 15895925;Аккумуляторные ножницы для живой изгороди Husqvarna 520iHD60 9679156-02;"
    56 690 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 22937517;Аккумуляторные ножницы для травы Makita LXT 18В BL1815N DUM111SYX;"
    11 201 р.

    ";"
    В наличии
    9
    шт.
  ";Нет информации
код: 15857593;Аккумуляторный триммер Makita UR100DWAEX;"
    15 939 р.

    ";"
    В наличии
    12
    шт.
  ";Нет информации
код: 16101412;Аккумуляторная газонокосилка Makita LXT DLM382Z;"
    17 300 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 27727416;Аккумуляторные ножницы-кусторез Мобил К xha18 комфорт 20 В, 2 А*ч, с телескопической рукояткой MBK0028060;"
    11 990 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 18645973;Садовый аккумуляторный триммер-кусторез DEKO DKTR40 2 в 1 063-4230;"
    12 106 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
